generation,best_fitness,avg_fitness,diversity,mutation_rate
0,0.7857142857142857,0.49999999999999994,0.07653061224489796,0.12
1,0.7857142857142857,0.49999999999999994,0.2608695652173913,0.12
2,0.7857142857142857,0.5,0.3229166666666667,0.12
3,0.7857142857142857,0.5,0.4,0.12
4,0.8571428571428571,0.5,0.6382978723404256,0.12
5,0.7857142857142857,0.5,0.47368421052631576,0.12
6,0.8571428571428571,0.49999999999999994,0.38636363636363635,0.12
7,0.7857142857142857,0.5000000000000001,0.02564102564102564,0.12
8,0.7857142857142857,0.49999999999999994,0.023809523809523808,0.12
9,0.7857142857142857,0.5000000000000001,0.0,0.12
10,0.7142857142857143,0.5000000000000001,0.0,0.12
